Date,Microsoft,Alphabet,Amazon,Meta,Oracle,Equinix,DigitalRealty,IronMountain,JPMorgan,JohnsonJohnson,ProcterGamble,Exxon,Walmart,Coca-Cola,IBM,BankOfAmerica,Citigroup,WellsFargo,AXA,Allianz,GoldmanSachs,Pfizer,Merck,AbbVie,UnitedHealth,CVSHealth,Target,Kroger,Carrefour,ATT,Verizon,DeutscheTelekom,Comcast,Vodafone
2020-01-02,152.15835571289062,67.87301635742188,94.90049743652344,208.14657592773438,49.32123947143555,515.4581298828125,95.4139404296875,22.390548706054688,119.03641510009766,122.63825225830078,105.5240249633789,53.3064079284668,36.359222412109375,45.43271255493164,99.4467544555664,30.58755874633789,64.97234344482422,45.82716369628906,18.182151794433594,163.32249450683594,202.11891174316406,27.494844436645508,72.09336853027344,69.26615142822266,263.1968078613281,60.627586364746094,106.47149658203125,25.098060607910156,11.741654396057129,18.983793258666992,42.610206604003906,11.507630348205566,35.33875274658203,12.744614601135254
2020-01-03,150.26376342773438,67.51797485351562,93.74849700927734,207.0452117919922,49.14753341674805,520.5921020507812,96.98260498046875,22.55989646911621,117.465576171875,121.21833038330078,104.81429290771484,52.87784957885742,36.038230895996094,45.18484878540039,98.6536636352539,29.952468872070312,63.748531341552734,45.545806884765625,18.18929100036621,161.5159912109375,199.75547790527344,27.347322463989258,71.47457885742188,68.60869598388672,260.53350830078125,60.14524841308594,105.36515808105469,25.133089065551758,11.788715362548828,19.081499099731445,42.15653991699219,11.510780334472656,35.058349609375,12.65278434753418
2020-01-06,150.6521759033203,69.31758880615234,95.14399719238281,210.94461059570312,49.40351104736328,520.0226440429688,96.10931396484375,22.95013427734375,117.37216186523438,121.067138671875,104.95967102050781,53.283851623535156,35.96485900878906,45.16831970214844,98.47742462158203,29.909549713134766,63.54856872558594,45.27299118041992,17.950056076049805,160.5205535888672,201.7997589111328,27.31220817565918,71.78006744384766,69.150146484375,262.3420104980469,60.382328033447266,104.36859130859375,25.220659255981445,11.788715362548828,19.101032257080078,42.0658073425293,11.48242473602295,34.79352569580078,12.685580253601074
2020-01-07,149.278564453125,69.1836929321289,95.34300231933594,211.4010467529297,49.51322555541992,517.7093505859375,95.16329193115234,22.810237884521484,115.37676239013672,121.80648040771484,104.3098373413086,52.8477897644043,35.631656646728516,44.82132339477539,98.54349517822266,29.7121524810791,62.996673583984375,44.89784240722656,18.060747146606445,160.8892364501953,203.1281280517578,27.22087860107422,69.86883544921875,68.75567626953125,260.75836181640625,60.1534309387207,104.55439758300781,25.036762237548828,11.882837295532227,19.174314498901367,41.598175048828125,11.50447940826416,35.16134262084961,12.600305557250977
2020-01-08,151.6562957763672,69.6761245727539,94.59850311279297,213.54421997070312,49.706058502197266,519.4176635742188,95.98804473876953,22.78814697265625,116.27682495117188,121.78968048095703,104.75446319580078,52.05082702636719,35.50938415527344,44.90394592285156,99.36598205566406,30.012548446655273,63.47657775878906,45.03425216674805,18.053606033325195,160.9629669189453,205.08615112304688,27.43864631652832,69.39889526367188,69.24297332763672,266.2562561035156,59.401309967041016,104.2165756225586,24.887889862060547,11.898524284362793,19.232934951782227,41.674949645996094,11.458796501159668,35.52131652832031,12.659342765808105
2020-01-09,153.55093383789062,70.40757751464844,95.05249786376953,216.60025024414062,49.93561935424805,524.0350341796875,95.99613952636719,22.758697509765625,116.70138549804688,122.15093994140625,105.90023803710938,52.449302673339844,35.876216888427734,45.72187423706055,100.41609191894531,30.06403350830078,64.05249786376953,44.95751953125,18.032180786132812,162.7326202392578,209.2610321044922,27.319225311279297,70.00984191894531,69.77666473388672,264.7445068359375,59.564823150634766,104.30103302001953,24.90540313720703,11.91028881072998,19.291845321655273,41.50217056274414,11.696667671203613,35.61524200439453,13.039777755737305
2020-01-10,152.8404541015625,70.86231231689453,94.15799713134766,216.3621063232422,49.99991226196289,528.4927368164062,97.33031463623047,22.574621200561523,115.5381088256836,121.8736801147461,106.00286102294922,51.9831428527832,35.57663345336914,45.87886047363281,100.37938690185547,29.815143585205078,63.38859558105469,44.76142120361328,18.10716438293457,162.40081787109375,208.83839416503906,27.740711212158203,70.1273193359375,68.88714599609375,265.5633239746094,58.95167541503906,105.3398208618164,24.83534812927246,11.776951789855957,19.177488327026367,41.60090637207031,11.627352714538574,35.20046615600586,12.915153503417969
2020-01-13,154.67828369140625,71.41130065917969,94.56500244140625,220.18214416503906,50.11928939819336,529.3469848632812,98.62406158447266,22.7071533203125,116.49757385253906,122.41138458251953,106.78096008300781,52.47937774658203,35.42378616333008,46.374576568603516,100.31329345703125,30.089778900146484,64.50841522216797,44.42890548706055,18.09288215637207,161.9583740234375,211.51235961914062,27.684518814086914,70.1116714477539,68.46946716308594,257.213134765625,59.483062744140625,104.613525390625,24.887889862060547,11.804403305053711,18.943796157836914,41.71373748779297,11.540711402893066,35.84218215942383,12.921710968017578
2020-01-14,153.5888671875,70.94316101074219,93.47200012207031,217.35430908203125,50.3947639465332,521.8197021484375,97.63758087158203,22.530445098876953,117.85615539550781,123.10031127929688,106.61849975585938,52.02825164794922,35.51549530029297,46.26716995239258,99.74049377441406,30.31292152404785,65.51622772216797,42.03311538696289,17.62868881225586,161.36851501464844,211.90048217773438,28.148143768310547,70.4406509399414,69.14363861083984,259.36358642578125,60.3577995300293,105.78744506835938,25.255695343017578,11.843620300292969,18.938825607299805,41.63615036010742,11.531259536743164,36.02217483520508,13.361181259155273
2020-01-15,154.58351135253906,71.37012481689453,93.10099792480469,219.42803955078125,50.28457260131836,521.5884399414062,97.83164978027344,22.670347213745117,116.09000396728516,123.51199340820312,107.70445251464844,51.94554138183594,35.24038314819336,46.84550857543945,100.3279800415039,29.755062103271484,64.9803237915039,41.197547912597656,17.268047332763672,160.1519012451172,211.51235961914062,28.569629669189453,71.70173645019531,69.97466278076172,266.7150573730469,61.5350456237793,98.81147766113281,24.774044036865234,11.784793853759766,18.829437255859375,41.6784782409668,11.562765121459961,36.21782302856445,13.400538444519043
